row_id,congestion
848835,42.874077
848836,42.874077
848837,42.874077
848838,47.13671
848839,47.13671
848840,47.13671
848841,47.13671
848842,50.574078
848843,50.574078
848844,50.574078
848845,50.574078
848846,36.879395
848847,36.879395
848848,36.879395
848849,36.879395
848850,36.879395
848851,36.879395
848852,45.43574
848853,45.43574
848854,45.43574
848855,45.43574
848856,45.43574
848857,45.43574
848858,55.145123
848859,55.145123
848860,55.145123
848861,55.145123
848862,59.739693
848863,59.739693
848864,59.739693
848865,59.739693
848866,59.739693
848867,59.739693
848868,49.370285
848869,49.370285
848870,49.370285
848871,49.370285
848872,49.370285
848873,49.370285
848874,64.090515
848875,64.090515
848876,64.090515
848877,64.090515
848878,36.595592
848879,36.595592
848880,36.595592
848881,36.595592
848882,36.595592
848883,36.595592
848884,36.595592
848885,36.595592
848886,46.783546
848887,46.783546
848888,46.783546
848889,46.783546
848890,46.783546
848891,46.783546
848892,46.783546
848893,46.783546
848894,38.564056
848895,38.564056
848896,38.564056
848897,38.564056
848898,38.564056
848899,38.564056
848900,42.874077
848901,42.874077
848902,42.874077
848903,47.13671
848904,47.13671
848905,47.13671
848906,47.13671
848907,50.574078
848908,50.574078
848909,50.574078
848910,50.574078
848911,36.879395
848912,36.879395
848913,36.879395
848914,36.879395
848915,36.879395
848916,36.879395
848917,45.43574
848918,45.43574
848919,45.43574
848920,45.43574
848921,45.43574
848922,45.43574
848923,55.145123
848924,55.145123
848925,55.145123
848926,55.145123
848927,59.739693
848928,59.739693
848929,59.739693
848930,59.739693
848931,59.739693
848932,59.739693
848933,49.370285
848934,49.370285
848935,49.370285
848936,49.370285
848937,49.370285
848938,49.370285
848939,64.090515
848940,64.090515
848941,64.090515
848942,64.090515
848943,36.595592
848944,36.595592
848945,36.595592
848946,36.595592
848947,36.595592
848948,36.595592
848949,36.595592
848950,36.595592
848951,46.783546
848952,46.783546
848953,46.783546
848954,46.783546
848955,46.783546
848956,46.783546
848957,46.783546
848958,46.783546
848959,38.564056
848960,38.564056
848961,38.564056
848962,38.564056
848963,38.564056
848964,38.564056
848965,42.874077
848966,42.874077
848967,42.874077
848968,47.13671
848969,47.13671
848970,47.13671
